cluster,latitude,longitude,urban_rural,state,wealth_index
1.0,13.211833152,4.90905913684,U,Sokoto,-0.8501553571428572
2.0,13.2791608413,5.41337962169,U,Sokoto,-0.8385256666666667
3.0,13.0555764262,5.24659706237,U,Sokoto,0.486707
4.0,13.0739617682,5.2104367702,U,Sokoto,-0.10012
5.0,13.0449245185,5.19601922792,U,Sokoto,1.0448734482758621
6.0,13.450953214,4.24033496836,R,Sokoto,-1.3336526666666666
7.0,13.1233659176,4.78747735279,R,Sokoto,-1.27449
8.0,13.3235649251,5.04202039523,R,Sokoto,-1.3194586666666666
9.0,13.3502097075,5.22342102407,R,Sokoto,-1.1570846666666665
10.0,13.4874575188,5.44932856476,R,Sokoto,-1.2816672413793102
11.0,13.7927012404,5.50000687268,R,Sokoto,-1.090971
12.0,13.6680771902,5.83870188944,R,Sokoto,-1.2504726666666668
13.0,13.6364058592,5.53530060274,R,Sokoto,-1.3534593333333333
14.0,13.5692710927,6.18216823174,R,Sokoto,-1.3368853333333335
15.0,13.4591987137,6.34330349231,R,Sokoto,-1.0930362068965518
16.0,13.1567132761,6.45575697747,R,Sokoto,-1.066867
17.0,13.4909319962,5.83746987163,R,Sokoto,-1.2280236666666666
18.0,13.2973747844,5.45784150083,R,Sokoto,-0.8481651724137931
19.0,13.1275674263,5.41932253445,R,Sokoto,-1.2515290000000001
20.0,13.0506867495,5.53257856379,R,Sokoto,-1.2321353333333334
21.0,13.1228303559,5.28591817795,R,Sokoto,0.27356344827586204
22.0,13.0428478412,5.3498916516,R,Sokoto,-1.0962176666666668
23.0,13.036880262,5.25086738138,R,Sokoto,0.5089616666666666
24.0,13.071582772,5.21570119741,R,Sokoto,0.8644123333333333
25.0,13.1499611292,5.25199655743,R,Sokoto,-0.811192
26.0,13.0642501823,5.19436699073,R,Sokoto,-0.666567
27.0,12.9529978832,5.19685643927,R,Sokoto,-0.21918333333333334
28.0,13.0727190819,4.80616687808,R,Sokoto,-1.4827926666666669
29.0,12.6823175436,4.8849908737,R,Sokoto,-0.9359606666666667
30.0,12.8222871149,5.11932040686,R,Sokoto,-0.08560133333333335
31.0,13.0170354766,5.29064210286,R,Sokoto,-0.9028916666666666
32.0,12.8395994795,5.55690442457,R,Sokoto,-1.439105925925926
33.0,12.6209681696,5.5843326759,R,Sokoto,-1.2690617241379312
34.0,12.6645528227,5.03218924353,R,Sokoto,-0.952921
35.0,12.4216396115,4.87009204914,R,Sokoto,-1.212906
36.0,12.3753070791,4.69626075379,R,Sokoto,-1.0318479999999999
